"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
"BMW","PC","1","5","C","BMW X6 XDRIVE 3.0D A/T","0","0","0","0","4365000","3845000","3380000","0","SUV"
"BMW","PC","1","5","C","BMW X6 XDRIVE 3.5I A/T","0","0","0","0","4495000","3960000","3485000","0","SUV"
"BMW","PC","1","5","C","BMW X6 XDRIVE 30D A/T","0","0","0","0","0","0","0","4400000","SUV"
"BMW","PC","1","5","C","BMW X6 XDRIVE 35I A/T","0","0","0","0","0","0","0","2645000","SUV"
"BMW","PC","1","5","C","BMW X6 XDRIVE 5.0I A/T","0","0","0","0","5370000","4730000","4160000","0","SUV"
"BMW","PC","1","4","C","BMW X6 XDRIVE 30D 6 SPD A/T","0","0","0","4845000","0","0","0","0","SUV"
"BMW","PC","1","4","C","BMW X6 XDRIVE 30D 8 SPD A/T","0","5265000","0","0","0","0","0","0","SUV"
"BMW","PC","1","4","C","BMW X6 XDRIVE 35I 6 SPD A/T","0","0","0","4990000","0","0","0","0","SUV"
"BMW","PC","1","4","C","BMW X6 XDRIVE 5.0I 6 SPD A/T","0","0","0","5965000","0","0","0","0","SUV"
"BMW","PC","1","2","B","BMW Z4 2.3SI CONV 6 SPD A/T","0","0","0","3350000","0","0","0","0","SEDAN"
"BMW","PC","1","2","B","BMW Z4 2.5I RDSTR A/T","0","0","0","0","0","0","2155000","0","SEDAN"
"BMW","PC","1","2","B","BMW Z4 2.5I RDSTR CONV A/T","0","0","0","0","0","0","0","1835000","SEDAN"
"BMW","PC","1","2","C","BMW Z4 20SI CONVERTIBLE 8 SPD A/T","0","0","3245000","0","0","0","0","0","SEDAN"
"BMW","PC","1","2","B","BMW Z4 3.0  A/T","0","0","0","0","0","0","2190000","0","SEDAN"
"BMW","PC","1","2","C","BMW Z4 3.0 SI COUPE A/T","0","0","0","0","0","0","0","2200000","SEDAN"
"BMW","PC","1","2","C","BMW Z4 3.0 SI RDSTR RDSTR A/T","0","0","0","0","0","0","0","2245000","COUPE"
"BMW","PC","1","2","C","BMW Z4 3.0I CONV A/T","0","0","0","0","3855000","3395000","0","0","SEDAN"
"BMW","PC","1","2","C","BMW Z4 3.0I S-DRV A/T","0","0","0","0","0","3285000","0","0","SEDAN"
"BMW","PC","1","2","C","BMW Z4 30SI CONVERTIBLE 6 SPD A/T","0","0","4760000","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.2  M/T","0","0","0","0","0","0","260000","230000","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.4 BASE M/T","0","0","470000","415000","0","0","325000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.4  A/T","0","0","0","0","0","410000","365000","335000","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.4  M/T","0","0","0","460000","415000","380000","335000","295000","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.5  A/T","0","0","0","0","0","0","400000","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.5  M/T","0","0","0","0","0","0","370000","0","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.6 BASE A/T","0","0","0","0","515000","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.6 BASE M/T","0","0","0","0","0","0","390000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.6  A/T","0","0","0","0","0","0","445000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO 1.6  M/T","0","0","0","0","0","0","435000","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO LS 1.4  M/T","0","0","510000","460000","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO LS 1.5  A/T","0","0","0","0","0","0","0","335000","HATCHBACK"
"CHEVROLET","PC","1","5","A","CHEVROLET AVEO LS 1.5  M/T","0","0","0","0","0","0","0","305000","HATCHBACK"
"CHEVROLET","PC","1","5","B","CHEVROLET AVEO LT 1.4 SPORT A/T","0","0","630000","0","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET AVEO LT 1.4  A/T","0","0","575000","510000","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","B","CHEVROLET AVEO LT 1.6 SPORT A/T","0","0","0","570000","0","0","0","0","SEDAN"
"CHEVROLET","PC","1","5","A","CHEVROLET CAMARO  M/T","0","0","0","0","0","2575000","2270000","0","COUPE"
"CHEVROLET","PC","1","2","A","CHEVROLET CAMARO CONVERTIBLE SS A/T","0","0","0","3290000","0","0","0","0","COUPE"
"CHEVROLET","PC","1","2","A","CHEVROLET CAMARO V6 LT A/T","3218888","0","2495000","2195000","0","0","0","0","COUPE"
"CHEVROLET","PC","1","2","A","CHEVROLET CAMARO V8 SS A/T","4138888","0","3210000","2825000","2485000","0","0","0","COUPE"
"CHEVROLET","PC","1","7","B","CHEVROLET CAPTIVA 2.0 4X2 A/T","1398888","1235000","1085000","955000","840000","740000","650000","620000","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET CAPTIVA 2.0 4X4 A/T","0","0","0","1145000","1005000","0","835000","735000","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET CAPTIVA 2.0 MSE A/T","0","0","0","0","0","0","735000","0","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET CAPTIVA 2.4 4X2 A/T","1298888","0","0","920000","0","690000","605000","565000","SUV"
"CHEVROLET","PC","1","7","B","CHEVROLET CAPTIVA 2.4 4X4 A/T","0","1560000","0","1080000","0","940000","825000","726000","SUV"
"CHEVROLET","PC","1","0","B","CHEVROLET COLORADO 2.5 LT 4X2 M/T","1148888","1015000","890000","0","0","0","0","0","PICK-UP"
